time,iter,game,player_black,player_white,black_win,draw,white_win
2025-05-31T15:36:52,0,Connect4,Minimax,AlphaVDA_Large,0,0,1
2025-05-31T15:36:52,0,Connect4,MCTS400,Minimax,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Large,AlphaViT_Multi,0,1,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Small,AlphaViD_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,MCTS100,AlphaVDA_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViT_Large,AlphaZero,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Large,AlphaVDA_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Multi,AlphaZero,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaZero,MCTS100,1,0,0
2025-05-31T15:36:52,0,Connect4,Minimax,AlphaViD_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,MCTS400,random,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Small,AlphaViT_Small,0,0,1
2025-05-31T15:36:52,0,Connect4,MCTS100,Minimax,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViT_Small,AlphaZero,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViD_Small,AlphaZero,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViD_Small,AlphaViT_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViD_Multi,AlphaZero,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViT_Multi,AlphaVDA_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,MCTS400,AlphaVDA_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViD_Large,AlphaViD_Multi,0,1,0
2025-05-31T15:36:52,0,Connect4,MCTS400,AlphaVDA_Small,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViT_Small,AlphaVDA_Large,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViD_Multi,AlphaViT_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Large,AlphaViT_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Small,AlphaViT_Large,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Large,AlphaViD_Large,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViT_Large,Minimax,1,0,0
2025-05-31T15:36:52,0,Connect4,MCTS400,AlphaViD_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,MCTS100,AlphaViD_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,MCTS400,AlphaViT_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,MCTS400,AlphaZero,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViD_Large,MCTS400,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaZero,AlphaVDA_Large,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Small,random,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Multi,AlphaViD_Large,0,0,1
2025-05-31T15:36:52,0,Connect4,MCTS100,AlphaVDA_Large,0,1,0
2025-05-31T15:36:52,0,Connect4,MCTS100,AlphaViD_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Large,MCTS400,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Large,AlphaViD_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,Minimax,AlphaViT_Large,0,0,1
2025-05-31T15:36:52,0,Connect4,MCTS100,AlphaViT_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,Minimax,AlphaViD_Small,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViT_Large,MCTS400,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Multi,AlphaVDA_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Large,AlphaVDA_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaZero,AlphaVDA_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Large,AlphaVDA_Multi,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViT_Small,AlphaViT_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,Minimax,AlphaZero,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViT_Large,AlphaVDA_Multi,1,0,0
2025-05-31T15:36:52,0,Connect4,MCTS400,AlphaViT_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Small,AlphaViT_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViD_Small,AlphaVDA_Large,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViD_Multi,MCTS100,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Multi,AlphaVDA_Multi,0,1,0
2025-05-31T15:36:52,0,Connect4,AlphaViT_Multi,AlphaViT_Large,1,0,0
2025-05-31T15:36:52,0,Connect4,random,AlphaViD_Small,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Large,AlphaViD_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Large,AlphaVDA_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViT_Small,AlphaVDA_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Small,MCTS100,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViT_Large,AlphaViD_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViD_Large,Minimax,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViT_Small,AlphaViT_Large,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViT_Multi,MCTS100,1,0,0
2025-05-31T15:36:52,0,Connect4,Minimax,AlphaVDA_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaZero,AlphaViD_Multi,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Large,AlphaViT_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViT_Small,AlphaViD_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Small,AlphaVDA_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,Minimax,MCTS100,1,0,0
2025-05-31T15:36:52,0,Connect4,MCTS400,AlphaViD_Multi,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViD_Multi,MCTS400,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaVDA_Small,AlphaViD_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViT_Multi,AlphaViT_Small,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Multi,random,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViD_Small,AlphaVDA_Small,0,0,1
2025-05-31T15:36:52,0,Connect4,random,Minimax,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViT_Large,AlphaViT_Multi,1,0,0
2025-05-31T15:36:52,0,Connect4,AlphaViT_Large,AlphaViD_Large,0,0,1
2025-05-31T15:36:52,0,Connect4,AlphaViT_Large,AlphaVDA_Large,1,0,0
2025-05-31T15:36:52,0,Connect4,MCTS100,AlphaZero,0,0,1
