time,iter,game,player_black,player_white,black_win,draw,white_win
2025-05-31T13:47:17,1,Gomoku66,AlphaZero,MCTS100,1,0,0
2025-05-31T13:47:17,1,Gomoku66,Minimax,AlphaViT_Small,0,0,1
2025-05-31T13:47:17,1,Gomoku66,AlphaVDA_Large,AlphaZero,0,0,1
2025-05-31T13:47:17,1,Gomoku66,Minimax,AlphaViD_Multi,0,1,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViD_Small,AlphaViD_Large,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViT_Small,AlphaVDA_Large,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViT_Small,AlphaViT_Large,0,1,0
2025-05-31T13:47:17,1,Gomoku66,AlphaVDA_Multi,AlphaViD_Small,0,0,1
2025-05-31T13:47:17,1,Gomoku66,random,AlphaViD_Small,0,0,1
2025-05-31T13:47:17,1,Gomoku66,AlphaZero,MCTS400,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViD_Large,Minimax,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaVDA_Multi,random,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViT_Small,AlphaVDA_Small,0,1,0
2025-05-31T13:47:17,1,Gomoku66,MCTS100,AlphaViT_Multi,0,1,0
2025-05-31T13:47:17,1,Gomoku66,random,AlphaViD_Large,0,0,1
2025-05-31T13:47:17,1,Gomoku66,AlphaViT_Large,AlphaViT_Multi,0,1,0
2025-05-31T13:47:17,1,Gomoku66,random,AlphaVDA_Small,0,0,1
2025-05-31T13:47:17,1,Gomoku66,AlphaViD_Multi,AlphaVDA_Small,0,0,1
2025-05-31T13:47:17,1,Gomoku66,AlphaVDA_Large,AlphaVDA_Multi,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaVDA_Large,AlphaViT_Multi,0,0,1
2025-05-31T13:47:17,1,Gomoku66,AlphaVDA_Large,AlphaViT_Small,0,0,1
2025-05-31T13:47:17,1,Gomoku66,AlphaViD_Large,AlphaVDA_Small,0,0,1
2025-05-31T13:47:17,1,Gomoku66,AlphaViT_Large,AlphaViD_Large,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViD_Multi,AlphaZero,0,1,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViT_Multi,random,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaVDA_Large,MCTS400,0,0,1
2025-05-31T13:47:17,1,Gomoku66,MCTS400,AlphaVDA_Multi,1,0,0
2025-05-31T13:47:17,1,Gomoku66,Minimax,AlphaViT_Large,0,1,0
2025-05-31T13:47:17,1,Gomoku66,MCTS100,MCTS400,0,0,1
2025-05-31T13:47:17,1,Gomoku66,MCTS100,AlphaViT_Large,0,1,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViT_Small,AlphaViD_Small,0,1,0
2025-05-31T13:47:17,1,Gomoku66,random,AlphaViT_Multi,0,0,1
2025-05-31T13:47:17,1,Gomoku66,AlphaVDA_Multi,MCTS100,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaVDA_Small,random,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViD_Multi,random,1,0,0
2025-05-31T13:47:17,1,Gomoku66,MCTS100,AlphaViD_Large,0,1,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViT_Multi,Minimax,0,1,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViT_Multi,AlphaViD_Multi,1,0,0
2025-05-31T13:47:17,1,Gomoku66,AlphaViD_Small,AlphaViT_Small,0,1,0
2025-05-31T13:47:17,1,Gomoku66,random,AlphaZero,0,0,1
