/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1729.4122904745964, 'AlphaViD_Large': 1548.5703591868096, 'AlphaVDA_Large': 1423.7084164413434, 'AlphaViT_Small': 1806.7603114003293, 'AlphaViD_Small': 1685.4333943718004, 'AlphaVDA_Small': 1732.203043752415, 'AlphaViT_Multi': 1237.4701228047302, 'AlphaViD_Multi': 1359.2785214721105, 'AlphaVDA_Multi': 1162.1332155633959, 'AlphaZero': 1823.6009553252302, 'Minimax': 1413.9019261318258, 'MCTS100': 1434.1824452204771, 'MCTS400': 1540.497566672095, 'random': 1102.8474311828418}

{'AlphaViT_Large': 1735.0392826398258, 'AlphaViD_Large': 1554.109059990925, 'AlphaVDA_Large': 1404.3587505783664, 'AlphaViT_Small': 1820.7824059095597, 'AlphaViD_Small': 1692.2728055940784, 'AlphaVDA_Small': 1731.396450852724, 'AlphaViT_Multi': 1230.1876350642976, 'AlphaViD_Multi': 1344.6219516932708, 'AlphaVDA_Multi': 1133.902363642138, 'AlphaZero': 1842.1400551784336, 'Minimax': 1424.8774662920046, 'MCTS100': 1430.9658930520952, 'MCTS400': 1546.5727345734506, 'random': 1108.7731449388307}

{'AlphaViT_Large': 1746.3181639735865, 'AlphaViD_Large': 1559.4237654377864, 'AlphaVDA_Large': 1392.574346844037, 'AlphaViT_Small': 1826.8950885033985, 'AlphaViD_Small': 1698.677003221785, 'AlphaVDA_Small': 1740.7837197326153, 'AlphaViT_Multi': 1227.9063621787775, 'AlphaViD_Multi': 1332.0869939094723, 'AlphaVDA_Multi': 1126.9236035690906, 'AlphaZero': 1852.0245930079, 'Minimax': 1410.7506051315127, 'MCTS100': 1439.1769033502967, 'MCTS400': 1555.9895372576748, 'random': 1090.4693138820671}

{'AlphaViT_Large': 1743.8633607115291, 'AlphaViD_Large': 1569.4567380899264, 'AlphaVDA_Large': 1400.2547438896877, 'AlphaViT_Small': 1832.4484221701412, 'AlphaViD_Small': 1725.0589887901392, 'AlphaVDA_Small': 1760.9179270421428, 'AlphaViT_Multi': 1221.9429554583376, 'AlphaViD_Multi': 1326.2462281193737, 'AlphaVDA_Multi': 1112.6410585186613, 'AlphaZero': 1854.5942827390559, 'Minimax': 1413.466487402299, 'MCTS100': 1415.5216814988803, 'MCTS400': 1549.8270086567213, 'random': 1073.7601169131049}

{'AlphaViT_Large': 1750.308738361884, 'AlphaViD_Large': 1552.1756321331238, 'AlphaVDA_Large': 1416.238172580366, 'AlphaViT_Small': 1849.3193068465325, 'AlphaViD_Small': 1726.6193659914413, 'AlphaVDA_Small': 1766.4575329772042, 'AlphaViT_Multi': 1208.4419891523792, 'AlphaViD_Multi': 1331.9453280764453, 'AlphaVDA_Multi': 1106.6921311799833, 'AlphaZero': 1863.8967847761464, 'Minimax': 1398.748074781888, 'MCTS100': 1441.017949232856, 'MCTS400': 1537.3723278630541, 'random': 1050.7666660466962}

{'AlphaViT_Large': 1747.287049979605, 'AlphaViD_Large': 1565.6548416353157, 'AlphaVDA_Large': 1418.5691912255486, 'AlphaViT_Small': 1853.4489866642164, 'AlphaViD_Small': 1750.4553472434122, 'AlphaVDA_Small': 1783.7680692889844, 'AlphaViT_Multi': 1196.035681038393, 'AlphaViD_Multi': 1335.8769131805545, 'AlphaVDA_Multi': 1101.18655367799, 'AlphaZero': 1872.4619620798308, 'Minimax': 1383.1297231216265, 'MCTS100': 1431.3863775482619, 'MCTS400': 1523.3833295060817, 'random': 1037.3559738101799}

{'AlphaViT_Large': 1752.558563960059, 'AlphaViD_Large': 1546.7466754434872, 'AlphaVDA_Large': 1416.6817285475167, 'AlphaViT_Small': 1849.8762277326648, 'AlphaViD_Small': 1756.3730186377659, 'AlphaVDA_Small': 1791.1643569669586, 'AlphaViT_Multi': 1199.6616423150085, 'AlphaViD_Multi': 1317.483149600671, 'AlphaVDA_Multi': 1102.842794585566, 'AlphaZero': 1888.3599867386454, 'Minimax': 1398.9173642162034, 'MCTS100': 1443.01239375626, 'MCTS400': 1511.839062662252, 'random': 1024.4830348369421}

{'AlphaViT_Large': 1754.415160946387, 'AlphaViD_Large': 1564.9430708830796, 'AlphaVDA_Large': 1409.4162827700964, 'AlphaViT_Small': 1857.1100144070665, 'AlphaViD_Small': 1761.4992996372143, 'AlphaVDA_Small': 1798.1266565752421, 'AlphaViT_Multi': 1195.0206702556263, 'AlphaViD_Multi': 1323.2601660036762, 'AlphaVDA_Multi': 1097.1431849273386, 'AlphaZero': 1903.4313270916725, 'Minimax': 1385.6921096346002, 'MCTS100': 1431.675704578457, 'MCTS400': 1513.2882096528485, 'random': 1004.9781426366955}

{'AlphaViT_Large': 1775.0777262112624, 'AlphaViD_Large': 1571.873367084977, 'AlphaVDA_Large': 1398.0780895362361, 'AlphaViT_Small': 1862.008702781132, 'AlphaViD_Small': 1766.3807418561746, 'AlphaVDA_Small': 1812.3958440409885, 'AlphaViT_Multi': 1191.1773822231833, 'AlphaViD_Multi': 1319.9154302008476, 'AlphaVDA_Multi': 1098.3315432998406, 'AlphaZero': 1907.97626934076, 'Minimax': 1371.220374653808, 'MCTS100': 1423.364165916194, 'MCTS400': 1507.6309313099582, 'random': 994.5694315446383}

{'AlphaViT_Large': 1769.9863221477087, 'AlphaViD_Large': 1581.0736757923219, 'AlphaVDA_Large': 1402.9846721888246, 'AlphaViT_Small': 1881.666967122609, 'AlphaViD_Small': 1763.910882924643, 'AlphaVDA_Small': 1795.2628844811777, 'AlphaViT_Multi': 1179.6489088792057, 'AlphaViD_Multi': 1338.029783140358, 'AlphaVDA_Multi': 1076.5130254904686, 'AlphaZero': 1920.8713002569625, 'Minimax': 1388.4304346689935, 'MCTS100': 1408.9070930235553, 'MCTS400': 1500.0139392057608, 'random': 992.7001106774102}

{'AlphaViT_Large': 1774.644883178689, 'AlphaViD_Large': 1581.2122236637379, 'AlphaVDA_Large': 1392.5421262569103, 'AlphaViT_Small': 1883.4808557894717, 'AlphaViD_Small': 1770.2306456174606, 'AlphaVDA_Small': 1801.8722699356613, 'AlphaViT_Multi': 1169.7834918844821, 'AlphaViD_Multi': 1331.1361610403935, 'AlphaVDA_Multi': 1072.6279292327497, 'AlphaZero': 1924.9729950281535, 'Minimax': 1380.725565257182, 'MCTS100': 1412.4442819026654, 'MCTS400': 1514.7085085456, 'random': 989.6180626668421}

{'AlphaViT_Large': 1779.0192363815188, 'AlphaViD_Large': 1574.0726758581466, 'AlphaVDA_Large': 1391.2100724417357, 'AlphaViT_Small': 1886.0613853328844, 'AlphaViD_Small': 1766.2866040759993, 'AlphaVDA_Small': 1797.8823584179513, 'AlphaViT_Multi': 1148.8716785145616, 'AlphaViD_Multi': 1326.0150455230387, 'AlphaVDA_Multi': 1061.3655261406604, 'AlphaZero': 1936.1742328073053, 'Minimax': 1409.8653827447747, 'MCTS100': 1415.045639654519, 'MCTS400': 1525.00493681801, 'random': 983.1252252888924}

