/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1489.7577165149232, 'AlphaViD_Large': 1467.4853776205184, 'AlphaVDA_Large': 1530.3899824860725, 'AlphaViT_Small': 1678.0746100923511, 'AlphaViD_Small': 1714.2925435800394, 'AlphaVDA_Small': 1729.9097179203543, 'AlphaViT_Multi': 1419.080592252632, 'AlphaViD_Multi': 1355.2008506080822, 'AlphaVDA_Multi': 1337.551437189658, 'AlphaZero': 1722.2259937806737, 'Minimax': 1337.862680299656, 'MCTS100': 1484.0747294922894, 'MCTS400': 1574.5961896941521, 'random': 1159.497578468599}

{'AlphaViT_Large': 1496.3740135058003, 'AlphaViD_Large': 1469.3801973560523, 'AlphaVDA_Large': 1523.6099252645758, 'AlphaViT_Small': 1683.6757525481312, 'AlphaViD_Small': 1720.4377372059744, 'AlphaVDA_Small': 1737.6472337728317, 'AlphaViT_Multi': 1409.675258876941, 'AlphaViD_Multi': 1345.460006450576, 'AlphaVDA_Multi': 1328.042620572894, 'AlphaZero': 1734.1155566280443, 'Minimax': 1339.3549754826242, 'MCTS100': 1485.1321434138713, 'MCTS400': 1578.3048317726636, 'random': 1148.7897471490207}

{'AlphaViT_Large': 1487.155889806313, 'AlphaViD_Large': 1468.9848387251618, 'AlphaVDA_Large': 1523.8576737892483, 'AlphaViT_Small': 1696.0712850183843, 'AlphaViD_Small': 1725.3296170820818, 'AlphaVDA_Small': 1736.5047585434384, 'AlphaViT_Multi': 1424.4794966087552, 'AlphaViD_Multi': 1343.5765269132467, 'AlphaVDA_Multi': 1334.9997951091227, 'AlphaZero': 1745.2318706412811, 'Minimax': 1326.1295822575544, 'MCTS100': 1486.094816952659, 'MCTS400': 1566.0558576480391, 'random': 1135.5279909047151}

{'AlphaViT_Large': 1480.438414971678, 'AlphaViD_Large': 1458.9566534996804, 'AlphaVDA_Large': 1529.351011508951, 'AlphaViT_Small': 1703.195834904755, 'AlphaViD_Small': 1730.4907884595677, 'AlphaVDA_Small': 1742.5675000153046, 'AlphaViT_Multi': 1412.721667650721, 'AlphaViD_Multi': 1335.2334138043134, 'AlphaVDA_Multi': 1325.4327031775688, 'AlphaZero': 1753.7597838384274, 'Minimax': 1314.982861455596, 'MCTS100': 1487.389628195361, 'MCTS400': 1579.5238649567636, 'random': 1145.955873561313}

{'AlphaViT_Large': 1478.3851712917367, 'AlphaViD_Large': 1466.1992597392166, 'AlphaVDA_Large': 1522.3747771798035, 'AlphaViT_Small': 1713.2160824517991, 'AlphaViD_Small': 1739.055524219575, 'AlphaVDA_Small': 1740.4564510720093, 'AlphaViT_Multi': 1395.7463895799606, 'AlphaViD_Multi': 1333.3754599753845, 'AlphaVDA_Multi': 1332.364272706932, 'AlphaZero': 1750.517507007285, 'Minimax': 1308.5683612802495, 'MCTS100': 1493.2362832307797, 'MCTS400': 1590.3457527847208, 'random': 1136.1587074805484}

{'AlphaViT_Large': 1467.9398960973167, 'AlphaViD_Large': 1460.6917471772372, 'AlphaVDA_Large': 1510.1032527890764, 'AlphaViT_Small': 1720.230971352239, 'AlphaViD_Small': 1742.4611838524038, 'AlphaVDA_Small': 1750.1163605126899, 'AlphaViT_Multi': 1390.8581051950398, 'AlphaViD_Multi': 1353.7072808063097, 'AlphaVDA_Multi': 1325.7564702944294, 'AlphaZero': 1751.4925206595601, 'Minimax': 1318.2542346277298, 'MCTS100': 1485.9426389397202, 'MCTS400': 1598.7895524176758, 'random': 1123.6557852785731}

{'AlphaViT_Large': 1479.4876662766874, 'AlphaViD_Large': 1469.6334345228124, 'AlphaVDA_Large': 1514.5249835618067, 'AlphaViT_Small': 1718.9203613471873, 'AlphaViD_Small': 1745.1162131780836, 'AlphaVDA_Small': 1752.1293431217478, 'AlphaViT_Multi': 1375.6947600036208, 'AlphaViD_Multi': 1358.32661610934, 'AlphaVDA_Multi': 1325.6358339031885, 'AlphaZero': 1746.0832437596446, 'Minimax': 1318.7326390535445, 'MCTS100': 1485.7073445178416, 'MCTS400': 1594.0263940621162, 'random': 1115.9811665823793}

{'AlphaViT_Large': 1477.4853725519506, 'AlphaViD_Large': 1462.1766923069129, 'AlphaVDA_Large': 1521.703943107414, 'AlphaViT_Small': 1721.3778681430335, 'AlphaViD_Small': 1747.1964927227555, 'AlphaVDA_Small': 1759.6834986122897, 'AlphaViT_Multi': 1368.297771014564, 'AlphaViD_Multi': 1368.729193181543, 'AlphaVDA_Multi': 1318.1341649692754, 'AlphaZero': 1756.1837004563138, 'Minimax': 1322.6853899708185, 'MCTS100': 1503.9906790344464, 'MCTS400': 1567.261018446264, 'random': 1105.0942154824193}

{'AlphaViT_Large': 1479.3655986239805, 'AlphaViD_Large': 1452.1300101644845, 'AlphaVDA_Large': 1517.2918955261732, 'AlphaViT_Small': 1720.7539307417983, 'AlphaViD_Small': 1741.980659897805, 'AlphaVDA_Small': 1759.6837451520785, 'AlphaViT_Multi': 1383.431258409254, 'AlphaViD_Multi': 1353.2307718207019, 'AlphaVDA_Multi': 1314.1601244264823, 'AlphaZero': 1756.8405420146253, 'Minimax': 1322.1861458310577, 'MCTS100': 1518.2783370287402, 'MCTS400': 1584.918665995294, 'random': 1095.748314367525}

{'AlphaViT_Large': 1480.3189314853742, 'AlphaViD_Large': 1452.4339681173788, 'AlphaVDA_Large': 1517.522635302615, 'AlphaViT_Small': 1727.6574012810515, 'AlphaViD_Small': 1745.3928018027789, 'AlphaVDA_Small': 1759.3672506750834, 'AlphaViT_Multi': 1390.9029956243248, 'AlphaViD_Multi': 1353.4725387840324, 'AlphaVDA_Multi': 1307.5451464480473, 'AlphaZero': 1757.3992574051938, 'Minimax': 1325.8410369471842, 'MCTS100': 1514.8428266987412, 'MCTS400': 1580.5086961713137, 'random': 1086.7945132568814}

{'AlphaViT_Large': 1478.6479316305886, 'AlphaViD_Large': 1459.7707411899733, 'AlphaVDA_Large': 1531.2564124148769, 'AlphaViT_Small': 1730.4965279010996, 'AlphaViD_Small': 1740.949314846371, 'AlphaVDA_Small': 1763.7995839921318, 'AlphaViT_Multi': 1390.8983024368065, 'AlphaViD_Multi': 1342.6645660961076, 'AlphaVDA_Multi': 1314.694416157057, 'AlphaZero': 1754.1762588069237, 'Minimax': 1335.5758252297792, 'MCTS100': 1508.0299742784337, 'MCTS400': 1566.005110341321, 'random': 1083.0350346785308}

{'AlphaViT_Large': 1482.5752811017135, 'AlphaViD_Large': 1450.7096130593523, 'AlphaVDA_Large': 1532.7681693617562, 'AlphaViT_Small': 1732.3334423432138, 'AlphaViD_Small': 1741.0203768422746, 'AlphaVDA_Small': 1766.7385050215553, 'AlphaViT_Multi': 1386.2331727742749, 'AlphaViD_Multi': 1338.2119395369868, 'AlphaVDA_Multi': 1302.6945807401491, 'AlphaZero': 1755.088288537316, 'Minimax': 1353.5835653416889, 'MCTS100': 1510.5513256033091, 'MCTS400': 1567.7131280613023, 'random': 1079.7786116751076}

{'AlphaViT_Large': 1491.5616140553072, 'AlphaViD_Large': 1455.0334386651548, 'AlphaVDA_Large': 1522.7002544545337, 'AlphaViT_Small': 1738.5161600948845, 'AlphaViD_Small': 1748.9196355261615, 'AlphaVDA_Small': 1777.0610307211878, 'AlphaViT_Multi': 1385.5517073236836, 'AlphaViD_Multi': 1346.380861135588, 'AlphaVDA_Multi': 1298.4913019169298, 'AlphaZero': 1755.8523895147657, 'Minimax': 1320.6512292171808, 'MCTS100': 1515.6579543806113, 'MCTS400': 1567.0646869362404, 'random': 1076.5577360577715}

