/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1725.5057013657809, 'AlphaViD_Large': 1643.698471289801, 'AlphaVDA_Large': 1673.2005585048742, 'AlphaViT_Small': 1263.8466920176738, 'AlphaViD_Small': 1273.3719128269038, 'AlphaVDA_Small': 1310.0710645065492, 'AlphaViT_Multi': 1798.9297871333242, 'AlphaViD_Multi': 1648.4400246879661, 'AlphaVDA_Multi': 1615.5024346782145, 'AlphaZero': 1878.378221990461, 'Minimax': 1233.685560328231, 'MCTS100': 1369.7469311994473, 'MCTS400': 1505.968824824266, 'random': 1059.6538146465068}

{'AlphaViT_Large': 1727.939242230992, 'AlphaViD_Large': 1660.8082878422315, 'AlphaVDA_Large': 1660.8638788589633, 'AlphaViT_Small': 1258.3805059861331, 'AlphaViD_Small': 1267.2425064684799, 'AlphaVDA_Small': 1304.0359165068196, 'AlphaViT_Multi': 1815.5260819540074, 'AlphaViD_Multi': 1651.49458230802, 'AlphaVDA_Multi': 1612.5358435723838, 'AlphaZero': 1890.7417289343546, 'Minimax': 1226.1635077600856, 'MCTS100': 1382.2716438909952, 'MCTS400': 1495.031999745876, 'random': 1046.9642739406584}

{'AlphaViT_Large': 1734.8077683313466, 'AlphaViD_Large': 1666.1223779474647, 'AlphaVDA_Large': 1666.5555757564816, 'AlphaViT_Small': 1247.2132410975287, 'AlphaViD_Small': 1276.1328115206745, 'AlphaVDA_Small': 1291.8172437998544, 'AlphaViT_Multi': 1822.7271942836974, 'AlphaViD_Multi': 1651.058558594114, 'AlphaVDA_Multi': 1618.4865116274495, 'AlphaZero': 1897.7662154398515, 'Minimax': 1219.3833138853283, 'MCTS100': 1383.6146765619721, 'MCTS400': 1488.9533839818769, 'random': 1035.3611271723598}

{'AlphaViT_Large': 1740.2321794519235, 'AlphaViD_Large': 1676.7138142476672, 'AlphaVDA_Large': 1663.867253155799, 'AlphaViT_Small': 1265.5121730705055, 'AlphaViD_Small': 1275.2140054568843, 'AlphaVDA_Small': 1272.81995201854, 'AlphaViT_Multi': 1837.4991697113026, 'AlphaViD_Multi': 1654.0691364135728, 'AlphaVDA_Multi': 1625.8592460983264, 'AlphaZero': 1908.8466543508548, 'Minimax': 1198.6030258227038, 'MCTS100': 1378.8161065710256, 'MCTS400': 1485.0541044733354, 'random': 1016.8931791575591}

{'AlphaViT_Large': 1747.505434942765, 'AlphaViD_Large': 1675.4730193743421, 'AlphaVDA_Large': 1674.0151511369968, 'AlphaViT_Small': 1274.9535346147231, 'AlphaViD_Small': 1267.0612164293375, 'AlphaVDA_Small': 1260.370611869986, 'AlphaViT_Multi': 1846.2906848889504, 'AlphaViD_Multi': 1657.6781778439722, 'AlphaVDA_Multi': 1624.4820693412762, 'AlphaZero': 1926.5805251186644, 'Minimax': 1183.9290980796643, 'MCTS100': 1388.9397751513213, 'MCTS400': 1473.6167367884677, 'random': 999.1039644195328}

{'AlphaViT_Large': 1759.5099114357047, 'AlphaViD_Large': 1682.617987745211, 'AlphaVDA_Large': 1667.054426009194, 'AlphaViT_Small': 1274.2750605686365, 'AlphaViD_Small': 1266.8509653398123, 'AlphaVDA_Small': 1268.0236558838378, 'AlphaViT_Multi': 1851.6157163905602, 'AlphaViD_Multi': 1666.604990819839, 'AlphaVDA_Multi': 1616.1784627233635, 'AlphaZero': 1942.7344016977836, 'Minimax': 1175.0171277027703, 'MCTS100': 1373.8329652417062, 'MCTS400': 1473.060207427808, 'random': 982.6241210137728}

{'AlphaViT_Large': 1770.5236511741605, 'AlphaViD_Large': 1685.897359847921, 'AlphaVDA_Large': 1673.7290214230993, 'AlphaViT_Small': 1287.7730559313727, 'AlphaViD_Small': 1259.612137178329, 'AlphaVDA_Small': 1260.0111381103, 'AlphaViT_Multi': 1852.6705654780433, 'AlphaViD_Multi': 1666.2691577819974, 'AlphaVDA_Multi': 1605.9078045267968, 'AlphaZero': 1949.6490501135327, 'Minimax': 1158.6696298358447, 'MCTS100': 1376.591245197775, 'MCTS400': 1485.3116646429953, 'random': 967.3845187578329}

{'AlphaViT_Large': 1773.9442036966595, 'AlphaViD_Large': 1670.4699997395317, 'AlphaVDA_Large': 1682.470501763823, 'AlphaViT_Small': 1260.886453650621, 'AlphaViD_Small': 1267.861923469878, 'AlphaVDA_Small': 1260.230390893766, 'AlphaViT_Multi': 1868.4838521505967, 'AlphaViD_Multi': 1673.877127161408, 'AlphaVDA_Multi': 1609.0773858932205, 'AlphaZero': 1959.9408230630554, 'Minimax': 1159.9536538209516, 'MCTS100': 1378.5936391237199, 'MCTS400': 1481.4759754289294, 'random': 952.7340701438395}

{'AlphaViT_Large': 1783.635050093947, 'AlphaViD_Large': 1660.942473009435, 'AlphaVDA_Large': 1675.727800862315, 'AlphaViT_Small': 1247.0380815361912, 'AlphaViD_Small': 1244.126632982597, 'AlphaVDA_Small': 1274.1188586183603, 'AlphaViT_Multi': 1879.183114581414, 'AlphaViD_Multi': 1686.257143862582, 'AlphaVDA_Multi': 1609.7449702473853, 'AlphaZero': 1970.1526932001818, 'Minimax': 1167.148289573962, 'MCTS100': 1369.234359591085, 'MCTS400': 1478.5448744976834, 'random': 954.1456573428613}

{'AlphaViT_Large': 1792.6689992706351, 'AlphaViD_Large': 1680.4288117573112, 'AlphaVDA_Large': 1673.5499683939972, 'AlphaViT_Small': 1244.1540643968358, 'AlphaViD_Small': 1234.8748586973713, 'AlphaVDA_Small': 1278.8998789131322, 'AlphaViT_Multi': 1877.245233688109, 'AlphaViD_Multi': 1683.2014729856728, 'AlphaVDA_Multi': 1615.638340706227, 'AlphaZero': 1983.4103459783446, 'Minimax': 1154.2519461810714, 'MCTS100': 1365.023992253034, 'MCTS400': 1468.9378272465087, 'random': 947.7142595317495}

{'AlphaViT_Large': 1793.8484670156138, 'AlphaViD_Large': 1697.6320713475752, 'AlphaVDA_Large': 1679.9986450668114, 'AlphaViT_Small': 1267.3652913132764, 'AlphaViD_Small': 1229.9288456028783, 'AlphaVDA_Small': 1252.3185895505515, 'AlphaViT_Multi': 1879.9382540350116, 'AlphaViD_Multi': 1679.3792551537156, 'AlphaVDA_Multi': 1621.6855314937968, 'AlphaZero': 1991.5798855130322, 'Minimax': 1147.0543821743202, 'MCTS100': 1357.1261031899803, 'MCTS400': 1468.3168274319212, 'random': 933.8278511115153}

{'AlphaViT_Large': 1801.1818282190748, 'AlphaViD_Large': 1699.9555540570034, 'AlphaVDA_Large': 1682.6335619342026, 'AlphaViT_Small': 1272.6178703793373, 'AlphaViD_Small': 1210.0452774969865, 'AlphaVDA_Small': 1260.21054611745, 'AlphaViT_Multi': 1883.3066885224146, 'AlphaViD_Multi': 1690.0195738600316, 'AlphaVDA_Multi': 1623.148988338224, 'AlphaZero': 1992.3643921824591, 'Minimax': 1133.6174316141128, 'MCTS100': 1345.887952307419, 'MCTS400': 1476.9421004371982, 'random': 928.0682345340862}

{'AlphaViT_Large': 1795.2406021773247, 'AlphaViD_Large': 1702.310956726159, 'AlphaVDA_Large': 1693.005370142614, 'AlphaViT_Small': 1269.7383121647251, 'AlphaViD_Small': 1200.906845076525, 'AlphaVDA_Small': 1272.7336856515683, 'AlphaViT_Multi': 1878.3876995612338, 'AlphaViD_Multi': 1693.978606202071, 'AlphaVDA_Multi': 1616.9201259720985, 'AlphaZero': 2004.0740527516205, 'Minimax': 1112.9582957485923, 'MCTS100': 1362.5963557757375, 'MCTS400': 1482.3360397401484, 'random': 914.8130523095815}

