/home/k-z/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
{'AlphaViT_Large': 1607.6044925010112, 'AlphaViD_Large': 1500.3458930064978, 'AlphaVDA_Large': 1316.5326013854278, 'AlphaViT_Small': 1699.9891119375957, 'AlphaViD_Small': 1701.985248551695, 'AlphaVDA_Small': 1695.6813676782415, 'AlphaViT_Multi': 1597.9206957694723, 'AlphaViD_Multi': 1401.7079310704703, 'AlphaVDA_Multi': 1232.600148198718, 'AlphaZero': 1719.6203460892687, 'Minimax': 1396.1666367655698, 'MCTS100': 1406.8197387498626, 'MCTS400': 1643.2168304677316, 'random': 1079.8089578284378}

{'AlphaViT_Large': 1603.9295313620667, 'AlphaViD_Large': 1491.721986906182, 'AlphaVDA_Large': 1299.2806445098183, 'AlphaViT_Small': 1704.1770250629882, 'AlphaViD_Small': 1699.2875529252092, 'AlphaVDA_Small': 1694.0173103673312, 'AlphaViT_Multi': 1624.0954973076514, 'AlphaViD_Multi': 1392.545146886881, 'AlphaVDA_Multi': 1245.3127330863776, 'AlphaZero': 1724.03767338774, 'Minimax': 1385.4904811197262, 'MCTS100': 1407.4905394074276, 'MCTS400': 1667.734844314837, 'random': 1060.8790333557638}

{'AlphaViT_Large': 1614.7743326112059, 'AlphaViD_Large': 1485.2624212698904, 'AlphaVDA_Large': 1283.9864298129692, 'AlphaViT_Small': 1705.7172053662741, 'AlphaViD_Small': 1708.0965740025122, 'AlphaVDA_Small': 1696.7470541147209, 'AlphaViT_Multi': 1621.202520898874, 'AlphaViD_Multi': 1392.4867444117097, 'AlphaVDA_Multi': 1240.3062335293698, 'AlphaZero': 1739.5080192970163, 'Minimax': 1402.7211188884098, 'MCTS100': 1394.4289030319892, 'MCTS400': 1667.6223534658066, 'random': 1047.1400892992524}

{'AlphaViT_Large': 1606.8015939461523, 'AlphaViD_Large': 1494.7214403008466, 'AlphaVDA_Large': 1271.9453291906657, 'AlphaViT_Small': 1710.7189216244885, 'AlphaViD_Small': 1716.1026650659956, 'AlphaVDA_Small': 1710.3160351335746, 'AlphaViT_Multi': 1629.2412918349742, 'AlphaViD_Multi': 1389.2049141551208, 'AlphaVDA_Multi': 1224.9839642935292, 'AlphaZero': 1741.2183046881773, 'Minimax': 1412.2684280693609, 'MCTS100': 1400.6224667907256, 'MCTS400': 1661.311131031406, 'random': 1030.5435138749833}

{'AlphaViT_Large': 1621.3796047152796, 'AlphaViD_Large': 1501.401452134823, 'AlphaVDA_Large': 1273.299820521169, 'AlphaViT_Small': 1718.2581246982368, 'AlphaViD_Small': 1727.240559334136, 'AlphaVDA_Small': 1721.716866826411, 'AlphaViT_Multi': 1622.458619910441, 'AlphaViD_Multi': 1389.5538221131617, 'AlphaVDA_Multi': 1218.792110287699, 'AlphaZero': 1746.3017643273224, 'Minimax': 1408.142662755236, 'MCTS100': 1381.5061091233677, 'MCTS400': 1651.0033216102474, 'random': 1018.94516164247}

{'AlphaViT_Large': 1615.7114134497667, 'AlphaViD_Large': 1507.1314506285726, 'AlphaVDA_Large': 1277.433534102386, 'AlphaViT_Small': 1714.0015102689583, 'AlphaViD_Small': 1736.1856637462415, 'AlphaVDA_Small': 1735.421747438109, 'AlphaViT_Multi': 1619.986654416576, 'AlphaViD_Multi': 1398.6023464850475, 'AlphaVDA_Multi': 1216.8501725436242, 'AlphaZero': 1754.8556843735498, 'Minimax': 1394.053198365087, 'MCTS100': 1380.6183415252312, 'MCTS400': 1645.0332694447927, 'random': 1004.1150132120584}

{'AlphaViT_Large': 1636.3546318008698, 'AlphaViD_Large': 1515.0385561835812, 'AlphaVDA_Large': 1280.7865524942306, 'AlphaViT_Small': 1722.0540358355665, 'AlphaViD_Small': 1736.1093438984371, 'AlphaVDA_Small': 1736.0354113753021, 'AlphaViT_Multi': 1633.7631270775587, 'AlphaViD_Multi': 1385.0871345849573, 'AlphaVDA_Multi': 1211.6463255739354, 'AlphaZero': 1751.1147731781703, 'Minimax': 1394.5015781574657, 'MCTS100': 1379.547163214404, 'MCTS400': 1627.6422541562908, 'random': 990.3191124692312}

{'AlphaViT_Large': 1634.9112674705016, 'AlphaViD_Large': 1503.8673805000667, 'AlphaVDA_Large': 1275.5630581108653, 'AlphaViT_Small': 1736.2187597983668, 'AlphaViD_Small': 1748.101853050816, 'AlphaVDA_Small': 1744.5511417414211, 'AlphaViT_Multi': 1630.5164622144569, 'AlphaViD_Multi': 1386.4334070610084, 'AlphaVDA_Multi': 1203.0724420619454, 'AlphaZero': 1752.0276174495054, 'Minimax': 1390.6208048521398, 'MCTS100': 1371.010039591441, 'MCTS400': 1641.9324642825452, 'random': 981.173301814921}

{'AlphaViT_Large': 1629.8419518027708, 'AlphaViD_Large': 1484.700135784022, 'AlphaVDA_Large': 1270.6141396997116, 'AlphaViT_Small': 1740.9058555452532, 'AlphaViD_Small': 1743.6478185090407, 'AlphaVDA_Small': 1751.5095040855235, 'AlphaViT_Multi': 1623.712801598623, 'AlphaViD_Multi': 1376.3050723770305, 'AlphaVDA_Multi': 1202.627742593534, 'AlphaZero': 1764.436387860668, 'Minimax': 1387.3445845436843, 'MCTS100': 1375.5311750747173, 'MCTS400': 1668.6090353548743, 'random': 980.2137951705469}

