Game,Shallow,Deep,Mean_ratio,Ratio_CI_low,Ratio_CI_high,Mean_delta,Delta_CI_low,Delta_CI_high
Connect4,AlphaViT L4 LB,AlphaViT L8 LB,1.0244036795379183,1.0041863612323811,1.0448726136868591,45.62999999999988,7.987500000000227,82.74099999999979
Connect4,AlphaViD L1 LB,AlphaViD L5 LB,1.0599417129966275,1.0303881867573006,1.090832678277876,104.69000000000005,53.90949999999986,155.73875000000024
Connect4,AlphaVDA L1 LB,AlphaVDA L5 LB,1.089660845355606,1.0586986303873962,1.1186451726662103,155.8699999999999,104.02624999999973,202.1222499999999
Connect4,AlphaViT L4 Multi,AlphaViT L8 Multi,1.044627710223604,1.0290741297307737,1.060396324273641,81.55000000000018,53.21774999999959,109.77224999999997
Connect4,AlphaViD L1 Multi,AlphaViD L5 Multi,1.1081214723334458,1.065175806077707,1.1505322674580258,179.29999999999995,111.74499999999955,242.8830000000001
Connect4,AlphaVDA L1 Multi,AlphaVDA L5 Multi,1.130491397984962,1.1107083980786918,1.1527039133733599,217.4599999999998,186.3895000000001,250.7477499999998
Connect4,AlphaZero,Deeper AlphaZero,0.9930025575447569,0.9820630778254567,1.0047507220379654,-13.680000000000291,-35.11549999999969,9.30949999999973
Gomoku,AlphaViT L4 LB,AlphaViT L8 LB,1.0590532224727547,1.0269433601007503,1.0977906542477167,100.57000000000016,46.45475000000002,163.70250000000004
Gomoku,AlphaViD L1 LB,AlphaViD L5 LB,1.0317135110598572,1.0038534925192253,1.0646623808142215,51.70000000000027,6.3597499999999005,104.69200000000005
Gomoku,AlphaVDA L1 LB,AlphaVDA L5 LB,1.016952825258435,0.9920674192724217,1.04695477350868,26.59999999999991,-12.695749999999833,72.18300000000006
Gomoku,AlphaViT L4 Multi,AlphaViT L8 Multi,1.061141533850974,1.0352374203358643,1.0878119531240882,112.20999999999981,66.38499999999985,157.42124999999984
Gomoku,AlphaViD L1 Multi,AlphaViD L5 Multi,1.177058452246878,1.1606538985554458,1.1955816465608065,286.1300000000001,262.81550000000016,312.5809999999999
Gomoku,AlphaVDA L1 Multi,AlphaVDA L5 Multi,1.1485042872385558,1.1298227214498928,1.1700485613701683,231.04000000000042,204.58700000000013,261.31024999999994
Gomoku,AlphaZero,Deeper AlphaZero,1.0146994002367358,1.0062226119841553,1.0250815204795318,29.68000000000052,12.656999999999869,50.06224999999994
Othello,AlphaViT L4 LB,AlphaViT L8 LB,1.0277786598079999,1.0132526596591704,1.0427763516107724,52.49000000000024,25.26774999999999,79.41799999999985
Othello,AlphaViD L1 LB,AlphaViD L5 LB,1.0674784079521298,1.0462427879321228,1.0879337616611071,116.49000000000024,81.56875000000016,148.76725000000022
Othello,AlphaVDA L1 LB,AlphaVDA L5 LB,1.077215153681201,1.0462678470121394,1.1009323521633785,135.02999999999997,81.89974999999964,173.98975000000002
Othello,AlphaViT L4 Multi,AlphaViT L8 Multi,1.0192229636484664,0.9922173548738015,1.0542846199371623,35.51999999999998,-14.728999999999823,97.49000000000024
Othello,AlphaViD L1 Multi,AlphaViD L5 Multi,1.020503513090981,0.9804276883882523,1.0609057631018495,34.23000000000002,-33.453000000000046,99.81400000000016
Othello,AlphaVDA L1 Multi,AlphaVDA L5 Multi,1.0979211958962933,1.0754832623987711,1.1209477887797683,163.5,127.08950000000013,200.0932499999999
Othello,AlphaZero,Deeper AlphaZero,1.0187464603586145,0.9941235464033904,1.046073219524988,36.08000000000038,-11.424999999999619,87.85925000000057
